#
# Sprite sheet data for MonoGame.
#
# To learn how to import these sprites into your MonoGame project visit:
# http://www.codeandweb.com/texturepacker/monogame
#
# Sprite sheet: CapGuyDemo@2x.png (2048 x 1928)
# $TexturePacker:SmartUpdate:2044216056b85e7707659a24b50ece03:ac7608d1f04ab193bff21724566c15eb:1a29484f10f40756034a0cb4556342aa$
#

Background;0;2;2;2044;1536;2044;1536;0.5;0.5
capguy/turn/0001;0;332;1540;165;301;207;329;0.5;0.5099667774086378
capguy/turn/0002;0;332;1540;165;301;207;329;0.5;0.5099667774086378
capguy/turn/0003;0;1248;1540;139;305;207;329;0.46402877697841727;0.5229508196721312
capguy/turn/0004;0;1248;1540;139;305;207;329;0.46402877697841727;0.5229508196721312
capguy/turn/0005;1;1665;1669;311;125;207;329;0.588;0.5289389067524116
capguy/turn/0006;1;1665;1669;311;125;207;329;0.588;0.5289389067524116
capguy/turn/0007;1;1665;1540;313;127;207;329;0.7598425196850394;0.5255591054313099
capguy/turn/0008;1;1665;1540;313;127;207;329;0.7598425196850394;0.5255591054313099
capguy/turn/0009;1;1665;1796;299;127;207;329;0.7204724409448819;0.5066889632107023
capguy/turn/0010;1;1665;1796;299;127;207;329;0.7204724409448819;0.5066889632107023
capguy/turn/0011;0;811;1540;149;305;207;329;0.6879194630872483;0.519672131147541
capguy/turn/0012;0;811;1540;149;305;207;329;0.6879194630872483;0.519672131147541
capguy/walk/0001;0;499;1540;157;314;187;324;0.5;0.5031847133757962
capguy/walk/0002;0;499;1540;157;314;187;324;0.5;0.5031847133757962
capguy/walk/0003;0;163;1540;167;302;187;324;0.5598802395209581;0.5099337748344371
capguy/walk/0004;0;163;1540;167;302;187;324;0.5598802395209581;0.5099337748344371
capguy/walk/0005;0;658;1540;151;306;187;324;0.4470198675496689;0.5228758169934641
capguy/walk/0006;0;658;1540;151;306;187;324;0.4470198675496689;0.5228758169934641
capguy/walk/0007;0;1389;1540;139;304;187;324;0.36330935251798563;0.5263157894736842
capguy/walk/0008;0;1389;1540;139;304;187;324;0.36330935251798563;0.5263157894736842
capguy/walk/0009;0;1109;1540;137;310;187;324;0.4343065693430657;0.5129032258064516
capguy/walk/0010;0;1109;1540;137;310;187;324;0.4343065693430657;0.5129032258064516
capguy/walk/0011;0;1530;1540;133;310;187;324;0.4774436090225564;0.4967741935483871
capguy/walk/0012;0;1530;1540;133;310;187;324;0.4774436090225564;0.4967741935483871
capguy/walk/0013;0;962;1540;145;312;187;324;0.4241379310344828;0.5096153846153846
capguy/walk/0014;0;962;1540;145;312;187;324;0.4241379310344828;0.5096153846153846
capguy/walk/0015;0;2;1540;159;318;187;324;0.44339622641509435;0.5062893081761006
capguy/walk/0016;0;2;1540;159;318;187;324;0.44339622641509435;0.5062893081761006
